zip_code	covid_outcome	count	etl_timestamp
19138	DIED	30	7/7/20 17:20
19125	DIED	12	7/7/20 17:20
19144	DIED	91	7/7/20 17:20
19152	DIED	64	7/7/20 17:20
19153	DIED	8	7/7/20 17:20
19133	DIED	19	7/7/20 17:20
19126	DIED	91	7/7/20 17:20
19119	DIED	69	7/7/20 17:20
19120	DIED	28	7/7/20 17:20
19128	DIED	16	7/7/20 17:20
19104	DIED	69	7/7/20 17:20
19149	DIED	29	7/7/20 17:20
19143	DIED	50	7/7/20 17:20
19146	DIED	29	7/7/20 17:20
19135	DIED	12	7/7/20 17:20
19151	DIED	26	7/7/20 17:20
19154	DIED	25	7/7/20 17:20
19132	DIED	33	7/7/20 17:20
19111	DIED	65	7/7/20 17:20
19114	DIED	29	7/7/20 17:20
19147	DIED	12	7/7/20 17:20
19139	DIED	60	7/7/20 17:20
19124	DIED	32	7/7/20 17:20
19142	DIED	25	7/7/20 17:20
19118	DIED	22	7/7/20 17:20
19122	DIED	17	7/7/20 17:20
19123	DIED	29	7/7/20 17:20
19130	DIED	15	7/7/20 17:20
19116	DIED	65	7/7/20 17:20
19140	DIED	54	7/7/20 17:20
19134	DIED	27	7/7/20 17:20
19145	DIED	24	7/7/20 17:20
19121	DIED	24	7/7/20 17:20
19107	DIED	9	7/7/20 17:20
19150	DIED	22	7/7/20 17:20
19131	DIED	92	7/7/20 17:20
19148	DIED	48	7/7/20 17:20
19115	DIED	105	7/7/20 17:20
19136	DIED	64	7/7/20 17:20
19103	DIED	24	7/7/20 17:20
19141	DIED	38	7/7/20 17:20
